EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
155630.100,182974.000,417257.600,195224.300,237808.600,210152.800,203343.100,218669.300,0.000
155750.700,183015.100,417468.200,195357.000,237607.200,210350.000,203330.300,218661.200,0.000
155722.900,183124.600,417480.800,195347.800,237790.800,210381.200,203376.800,218713.700,0.000
155631.900,183124.500,417324.200,195272.300,237941.300,210198.000,203422.600,218753.700,0.000
155537.400,183151.600,417096.500,195129.700,238155.300,210077.600,203432.500,218763.500,0.000
155646.600,182978.100,417074.400,195199.700,237799.600,210146.500,203347.700,218677.100,0.000
155769.600,183016.500,417283.000,195338.100,237589.800,210339.500,203331.600,218665.400,0.000
155721.000,183106.000,417282.600,195313.800,237755.400,210352.300,203357.800,218699.400,0.000
155620.500,183095.100,417120.100,195230.300,237893.900,210158.800,203392.600,218729.200,0.000
155546.900,183150.200,416923.400,195114.700,238141.600,210067.300,203433.600,218769.000,0.000
155653.100,182984.100,416909.600,195187.300,237799.200,210146.000,203359.100,218688.000,0.000
155752.000,183004.600,417098.600,195302.700,237571.800,210324.800,203325.700,218656.200,0.000
155715.900,183110.100,417109.700,195287.300,237751.000,210356.700,203368.000,218701.800,0.000
155607.000,183093.700,416941.800,195194.800,237890.000,210160.200,203397.800,218724.800,0.000
155513.000,183130.700,416724.600,195058.500,238118.400,210045.800,203417.300,218742.400,0.000
155635.700,182976.900,416725.600,195145.200,237789.800,210136.200,203352.900,218674.200,0.000
155748.400,183005.500,416935.300,195275.200,237569.400,210328.900,203330.100,218655.000,0.000
155694.500,183090.800,416935.300,195247.200,237733.000,210340.900,203352.500,218684.700,0.000
155592.600,183081.500,416778.800,195168.800,237881.700,210153.100,203391.400,218722.600,0.000
155511.800,183133.100,416574.600,195048.700,238126.300,210054.200,203427.600,218758.500,0.000
155627.900,182976.500,416566.300,195127.400,237797.300,210136.400,203359.100,218687.800,0.000
155743.300,183002.600,416770.600,195253.900,237574.700,210321.700,203329.600,218665.900,0.000
155698.300,183094.100,416776.400,195224.100,237741.300,210338.800,203352.300,218693.200,0.000
155598.200,183080.000,416614.000,195137.200,237877.400,210146.100,203382.500,218721.500,0.000
155515.700,183127.100,416411.000,195011.900,238109.500,210039.300,203408.800,218748.700,0.000
155632.400,182969.600,416406.400,195096.000,237777.500,210119.500,203338.900,218676.200,0.000
155755.300,183000.800,416620.100,195232.200,237559.500,210312.100,203320.300,218659.700,0.000
155705.400,183089.000,416623.300,195201.400,237716.500,210325.400,203343.600,218684.700,0.000
155596.800,183072.000,416457.600,195111.400,237850.600,210128.100,203373.100,218707.800,0.000
155501.400,183110.800,416239.800,194974.400,238076.300,210015.000,203392.900,218727.400,0.000
155622.200,182961.000,416240.400,195060.700,237760.300,210103.600,203331.700,218664.200,0.000
155740.200,182986.500,416455.500,195196.300,237534.100,210292.900,203306.700,218643.200,0.000
155699.400,183085.000,416469.900,195174.000,237699.200,210314.800,203333.100,218676.000,0.000
155601.000,183071.000,416313.100,195092.200,237838.800,210124.400,203364.900,218704.000,0.000
155500.700,183102.500,416096.800,194948.100,238059.100,210004.300,203375.800,218712.200,0.000
155622.100,182953.900,416102.500,195033.400,237747.700,210096.200,203313.300,218644.500,0.000
155756.000,182994.400,416330.300,195184.600,237539.800,210307.000,203307.500,218637.700,0.000
155704.200,183088.600,416339.100,195157.600,237704.400,210330.200,203333.500,218665.800,0.000
155593.000,183069.700,416178.600,195068.400,237835.500,210135.900,203363.700,218689.500,0.000
155496.100,183110.100,415969.200,194932.100,238065.700,210018.400,203383.200,218707.500,0.000
155609.200,182954.300,415962.100,195009.700,237749.700,210099.600,203316.300,218636.600,0.000
155726.400,182974.900,416175.600,195143.800,237523.900,210292.300,203293.500,218614.200,0.000
155702.200,183091.600,416211.800,195139.900,237712.200,210336.900,203342.000,218665.500,0.000
155606.700,183082.000,416064.900,195060.100,237852.300,210152.200,203381.400,218700.100,0.000
155496.400,183110.100,415838.300,194902.300,238067.300,210023.400,203385.200,218702.300,0.000
155615.200,182962.900,415837.500,194979.400,237756.900,210108.100,203322.900,218633.500,0.000
155730.800,182979.800,416047.200,195111.300,237522.200,210291.300,203291.400,218605.100,0.000
155697.800,183087.700,416074.600,195102.500,237698.400,210327.600,203329.500,218647.900,0.000
155603.400,183077.200,415930.300,195026.500,237841.500,210142.300,203367.500,218680.800,0.000
155508.800,183123.300,415722.100,194893.400,238075.000,210028.700,203388.700,218704.000,0.000
155617.700,182973.000,415713.200,194967.700,237764.400,210107.400,203322.200,218635.800,0.000
155740.000,182993.400,415931.400,195108.400,237534.000,210300.600,203301.500,218617.100,0.000
155696.100,183094.700,415951.300,195086.200,237701.800,210330.300,203327.400,218650.300,0.000
155597.000,183077.000,415800.300,195005.600,237839.000,210141.500,203361.400,218679.500,0.000
155505.700,183125.100,415593.500,194870.700,238075.100,210030.600,203387.900,218702.600,0.000
155604.300,182957.400,415571.600,194930.100,237753.300,210098.800,203308.700,218618.500,0.000
155740.300,182986.200,415800.800,195082.100,237528.000,210300.600,203296.800,218610.500,0.000
155706.700,183090.600,415828.600,195067.800,237699.100,210335.700,203328.300,218648.200,0.000
155604.300,183069.100,415673.900,194984.200,237827.100,210140.700,203355.600,218671.200,0.000
155509.000,183114.400,415465.600,194848.600,238062.700,210029.000,203380.300,218694.700,0.000
155614.500,182962.500,415453.300,194916.200,237753.600,210104.700,203310.000,218622.100,0.000
155748.800,182988.800,415681.100,195065.700,237526.200,210303.600,203294.800,218612.200,0.000
155715.800,183098.300,415711.100,195050.600,237700.000,210343.000,203330.600,218652.200,0.000
155610.700,183082.100,415558.600,194967.700,237832.900,210149.900,203361.900,218678.300,0.000
155493.900,183110.700,415333.900,194810.900,238051.800,210014.700,203363.400,218682.300,0.000
155613.400,182968.500,415334.300,194890.600,237758.300,210099.300,203302.500,218618.700,0.000
155735.800,182979.300,415552.400,195031.300,237515.300,210285.600,203273.400,218593.900,0.000
155692.800,183075.500,415576.200,195013.300,237677.200,210317.500,203300.700,218628.000,0.000
155599.400,183067.000,415436.700,194945.000,237820.200,210138.400,203342.500,218667.000,0.000
155502.100,183116.000,415232.200,194811.600,238063.000,210026.500,203370.600,218695.700,0.000
155606.100,182965.400,415219.300,194877.800,237762.600,210102.100,203307.600,218627.500,0.000
155736.500,182987.100,415446.500,195026.400,237525.700,210302.100,203293.500,218613.200,0.000
155713.500,183111.400,415496.400,195028.300,237710.300,210356.100,203342.000,218666.300,0.000
155612.500,183092.900,415348.000,194947.300,237839.200,210164.200,203372.200,218692.600,0.000
155499.700,183118.700,415125.100,194789.600,238061.300,210026.800,203376.500,218697.800,0.000
155597.900,182956.000,415101.500,194845.300,237750.900,210087.900,203296.600,218615.800,0.000
155735.200,182974.900,415330.200,194995.600,237511.700,210286.000,203277.700,218599.300,0.000
155707.900,183086.200,415369.500,194988.700,237687.500,210333.300,203314.300,218640.100,0.000
155605.100,183064.200,415217.600,194907.900,237808.600,210139.300,203342.700,218663.600,0.000
155516.400,183121.800,415018.800,194777.900,238055.800,210030.700,203376.400,218696.200,0.000
155621.600,182973.200,415005.900,194842.900,237761.400,210105.600,203312.900,218628.800,0.000
155745.800,182984.900,415229.400,194982.400,237515.500,210295.300,203286.500,218603.700,0.000
155713.300,183095.000,415267.200,194974.000,237686.000,210339.900,203322.800,218645.300,0.000
155619.200,183079.800,415126.700,194903.600,237816.700,210153.300,203362.000,218679.500,0.000
155514.000,183121.800,414914.800,194758.300,238050.800,210024.900,203379.100,218696.200,0.000
155614.500,182969.300,414895.200,194818.500,237754.800,210090.000,203306.600,218623.600,0.000
155745.300,182983.500,415124.600,194968.700,237509.700,210282.900,203285.200,218604.800,0.000
