EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
156748.500,184137.200,409918.300,195080.500,238546.000,210978.100,204195.500,219483.300,0.000
156742.800,184123.600,409907.300,195078.500,238539.100,210967.400,204189.200,219476.600,0.000
156741.200,184115.600,409901.800,195078.600,238530.900,210951.600,204188.900,219474.800,0.000
156746.800,184118.500,409898.100,195081.000,238530.100,210952.100,204192.800,219477.100,0.000
156754.400,184133.200,409897.900,195081.600,238535.000,210977.200,204193.800,219476.600,0.000
156752.100,184147.000,409892.400,195073.400,238556.300,210994.400,204193.100,219474.600,0.000
156750.000,184135.600,409889.300,195072.400,238551.400,210984.400,204193.100,219472.600,0.000
156744.600,184122.100,409884.100,195071.900,238538.000,210959.300,204196.700,219473.500,0.000
156738.700,184116.600,409868.200,195066.100,238527.100,210950.300,204195.400,219470.900,0.000
156738.600,184125.500,409857.200,195060.600,238526.200,210972.600,204190.600,219467.500,0.000
156738.600,184138.000,409850.000,195055.800,238547.700,210992.100,204191.200,219470.300,0.000
156742.900,184128.000,409847.400,195060.900,238545.400,210984.400,204192.500,219471.500,0.000
156744.400,184116.000,409843.200,195065.400,238535.000,210959.000,204194.300,219472.300,0.000
156743.300,184107.000,409830.200,195063.300,238522.100,210943.500,204190.800,219468.600,0.000
156743.000,184110.200,409823.900,195059.400,238515.000,210954.300,204183.200,219462.500,0.000
156742.000,184124.300,409822.100,195056.000,238535.800,210968.500,204182.200,219463.500,0.000
156745.800,184120.900,409820.600,195060.800,238535.600,210965.400,204182.700,219464.400,0.000
156743.100,184111.000,409811.400,195059.700,238524.200,210947.200,204181.900,219463.100,0.000
156739.600,184105.000,409798.900,195055.300,238517.000,210940.800,204181.600,219463.600,0.000
156744.500,184114.800,409802.600,195059.100,238520.800,210961.500,204186.800,219470.800,0.000
156741.700,184124.800,409801.900,195057.600,238536.900,210973.300,204190.100,219475.800,0.000
156734.400,184111.300,409791.000,195054.600,238524.500,210962.000,204182.800,219469.700,0.000
156730.200,184105.800,409784.000,195054.600,238519.000,210948.700,204181.700,219469.000,0.000
156731.000,184107.000,409779.900,195056.000,238522.600,210945.900,204184.800,219471.000,0.000
156733.700,184112.300,409782.400,195057.900,238523.000,210954.800,204185.700,219471.000,0.000
156735.700,184126.500,409784.000,195059.500,238541.000,210964.400,204191.600,219476.900,0.000
156741.000,184128.300,409781.700,195066.300,238541.100,210966.700,204194.800,219479.200,0.000
156738.200,184125.500,409771.800,195064.700,238536.600,210958.000,204191.600,219475.300,0.000
156733.700,184119.200,409760.700,195059.200,238532.800,210950.400,204186.300,219470.300,0.000
156735.900,184118.000,409763.100,195060.600,238527.700,210955.400,204185.600,219470.400,0.000
156731.600,184119.100,409756.900,195054.500,238533.000,210954.000,204184.700,219470.100,0.000
156729.800,184108.900,409741.600,195049.000,238520.300,210948.000,204177.800,219462.500,0.000
156735.200,184113.600,409734.700,195050.400,238523.900,210951.500,204181.100,219464.200,0.000
156744.200,184121.400,409736.600,195058.400,238539.600,210959.200,204192.700,219474.000,0.000
156746.100,184117.200,409738.900,195063.800,238534.600,210956.800,204195.800,219476.000,0.000
156734.600,184109.100,409724.100,195053.200,238526.600,210941.100,204187.800,219468.000,0.000
156727.300,184098.300,409704.100,195041.600,238509.600,210933.100,204174.900,219455.000,0.000
156719.800,184098.000,409687.300,195029.500,238508.900,210931.400,204165.100,219445.100,0.000
156720.400,184101.000,409682.100,195027.700,238521.100,210931.200,204165.400,219445.100,0.000
156733.400,184106.800,409695.900,195041.900,238527.900,210936.600,204176.300,219455.900,0.000
156739.100,184114.800,409699.900,195048.100,238538.800,210938.800,204187.000,219466.700,0.000
156743.800,184117.300,409694.300,195050.300,238535.400,210948.100,204191.600,219470.500,0.000
156739.100,184121.800,409681.300,195042.400,238534.700,210955.700,204190.100,219468.300,0.000
156722.800,184110.400,409658.300,195024.700,238523.900,210945.600,204177.400,219454.500,0.000
156711.800,184096.400,409649.300,195016.300,238505.300,210933.500,204168.300,219442.600,0.000
156708.500,184099.600,409649.200,195015.500,238514.500,210929.400,204173.900,219446.600,0.000
156709.700,184099.700,409645.800,195017.600,238516.100,210932.300,204177.300,219450.500,0.000
156702.000,184099.400,409632.800,195009.800,238514.500,210931.800,204171.300,219446.200,0.000
156697.300,184096.900,409620.500,195003.500,238512.000,210929.300,204164.800,219441.100,0.000
156703.900,184096.900,409625.600,195010.000,238506.200,210930.300,204165.600,219442.600,0.000
156702.700,184098.800,409623.200,195009.200,238513.300,210923.500,204166.100,219443.100,0.000
156696.700,184089.300,409609.800,195002.900,238504.500,210916.200,204157.800,219433.200,0.000
156689.800,184089.200,409599.100,194995.200,238503.300,210917.100,204153.200,219426.900,0.000
156690.800,184093.600,409596.400,194994.700,238509.100,210924.500,204157.200,219430.400,0.000
156700.500,184097.100,409605.900,195003.500,238507.500,210933.000,204165.800,219438.200,0.000
156704.400,184101.800,409606.900,195003.900,238516.100,210933.000,204172.700,219443.300,0.000
156708.500,184098.500,409601.600,195001.700,238511.900,210935.200,204171.300,219440.300,0.000
156707.700,184100.900,409595.200,194995.500,238514.300,210940.300,204167.200,219436.000,0.000
156704.600,184098.200,409586.400,194989.500,238516.900,210939.100,204162.900,219432.700,0.000
156708.200,184091.100,409589.300,194994.200,238507.400,210932.300,204162.900,219434.400,0.000
156711.000,184091.600,409590.000,194997.600,238509.900,210922.000,204166.600,219440.500,0.000
156712.500,184087.400,409582.800,194997.300,238500.800,210919.600,204161.800,219438.000,0.000
156706.500,184088.600,409572.200,194989.600,238501.400,210922.500,204154.300,219432.400,0.000
156702.700,184088.200,409564.500,194984.500,238510.500,210922.600,204152.800,219431.200,0.000
